,DBN,SchoolName,SchoolType,Rating
459,K270,P.S. 270 Johann DeKalb,Elementary,2.0
460,K282,P.S. 282 Park Slope,K-8,3.0
461,K287,P.S. 287 Bailey K. Ashford,Elementary,3.0
462,K301,Satellite East Middle School,Middle,3.0
463,K305,P.S. 305 Dr. Peter Ray,Elementary,3.0
464,K307,P.S. 307 Daniel Hale Williams,Elementary,3.0
465,K313,Satellite West Middle School,Middle,4.0
466,K351,The Urban Assembly Unison School,Middle,
467,K492,Academy of Arts and Letters,Middle,4.0
468,K527,Urban Assembly Institute of Math and Science for Young Women,Middle,3.0
469,K571,M.S. 571,Middle,
470,K596,MS 596 Peace Academy,Middle,4.0
471,K691,FORT GREENE PREPARATORY ACADEMY,Middle,3.0
472,K016,P.S. 016 Leonard Dunkly,Elementary,3.0
473,K017,P.S. 017 Henry D. Woodworth,Elementary,4.0
474,K018,P.S. 018 Edward Bush,Elementary,3.0
475,K019,P.S. 019 Roberto Clemente,Elementary,
476,K023,P.S. 023 Carter G. Woodson,Elementary,4.0
477,K031,P.S. 031 Samuel F. Dupont,Elementary,5.0
478,K034,P.S. 034 Oliver H. Perry,Elementary,4.0
479,K050,J.H.S. 050 John D. Wells,Middle,4.0
480,K059,P.S. 059 William Floyd,Elementary,3.0
481,K071,Juan Morel Campos Secondary School,Middle,3.0
482,K084,P.S. 084 Jose De Diego,Elementary,3.0
483,K110,P.S. 110 The Monitor,Elementary,3.0
484,K120,P.S. 120 Carlos Tapia,Elementary,4.0
485,K126,John Ericsson Middle School 126,Middle,5.0
486,K132,P.S. 132 The Conselyea School,Elementary,3.0
